size: 128, time: 0.125788 s, speed: 0.033344 GFlops
size: 132, time: 0.099491 s, speed: 0.046235 GFlops
size: 136, time: 0.002100 s, speed: 2.395683 GFlops
size: 140, time: 0.002021 s, speed: 2.715388 GFlops
size: 144, time: 0.103399 s, speed: 0.057757 GFlops
size: 148, time: 0.001771 s, speed: 3.661029 GFlops
size: 152, time: 0.001835 s, speed: 3.827359 GFlops
size: 156, time: 0.001961 s, speed: 3.871933 GFlops
size: 160, time: 0.002163 s, speed: 3.787449 GFlops
size: 164, time: 0.002015 s, speed: 4.378379 GFlops
size: 168, time: 0.002021 s, speed: 4.692190 GFlops
size: 172, time: 0.002061 s, speed: 4.938107 GFlops
size: 176, time: 0.002013 s, speed: 5.416654 GFlops
size: 180, time: 0.001644 s, speed: 7.095339 GFlops
size: 184, time: 0.001712 s, speed: 7.277102 GFlops
size: 188, time: 0.006280 s, speed: 2.116076 GFlops
size: 192, time: 0.001152 s, speed: 12.287589 GFlops
size: 196, time: 0.001144 s, speed: 13.164303 GFlops
size: 200, time: 0.001473 s, speed: 10.860797 GFlops
size: 204, time: 0.001157 s, speed: 14.674730 GFlops
size: 208, time: 0.001154 s, speed: 15.596766 GFlops
size: 212, time: 0.002196 s, speed: 8.678364 GFlops
size: 216, time: 0.002178 s, speed: 9.254279 GFlops
size: 220, time: 0.002204 s, speed: 9.662689 GFlops
size: 224, time: 0.001799 s, speed: 12.496106 GFlops
size: 228, time: 0.002617 s, speed: 9.058376 GFlops
size: 232, time: 0.002464 s, speed: 10.135458 GFlops
size: 236, time: 0.001565 s, speed: 16.797991 GFlops
size: 240, time: 0.001588 s, speed: 17.412030 GFlops
size: 244, time: 0.001642 s, speed: 17.694133 GFlops
size: 248, time: 0.001649 s, speed: 18.500777 GFlops
size: 252, time: 0.001682 s, speed: 19.028060 GFlops
size: 256, time: 0.092260 s, speed: 0.363694 GFlops
size: 260, time: 0.003259 s, speed: 10.786318 GFlops
size: 264, time: 0.003371 s, speed: 10.916489 GFlops
size: 268, time: 0.003372 s, speed: 11.417019 GFlops
size: 272, time: 0.001406 s, speed: 28.626318 GFlops
size: 276, time: 0.001518 s, speed: 27.700161 GFlops
size: 280, time: 0.001899 s, speed: 23.119488 GFlops
size: 284, time: 0.001924 s, speed: 23.810657 GFlops
size: 288, time: 0.001464 s, speed: 32.636155 GFlops
size: 292, time: 0.001503 s, speed: 33.130062 GFlops
size: 296, time: 0.001948 s, speed: 26.625013 GFlops
size: 300, time: 0.001876 s, speed: 28.782872 GFlops
size: 304, time: 0.001574 s, speed: 35.697280 GFlops
size: 308, time: 0.001898 s, speed: 30.787500 GFlops
size: 312, time: 0.002220 s, speed: 27.362600 GFlops
size: 316, time: 0.002217 s, speed: 28.465243 GFlops
size: 320, time: 0.001724 s, speed: 38.013816 GFlops
size: 324, time: 0.001991 s, speed: 34.165395 GFlops
size: 328, time: 0.001983 s, speed: 35.587093 GFlops
size: 332, time: 0.002040 s, speed: 35.874233 GFlops
size: 336, time: 0.002053 s, speed: 36.953378 GFlops
size: 340, time: 0.002122 s, speed: 37.045601 GFlops
size: 344, time: 0.002110 s, speed: 38.585307 GFlops
size: 348, time: 0.002201 s, speed: 38.294097 GFlops
size: 352, time: 0.002181 s, speed: 39.998086 GFlops
size: 356, time: 0.002259 s, speed: 39.944839 GFlops
size: 360, time: 0.002526 s, speed: 36.939962 GFlops
size: 364, time: 0.002989 s, speed: 32.270108 GFlops
size: 368, time: 0.002965 s, speed: 33.616511 GFlops
size: 372, time: 0.002554 s, speed: 40.313282 GFlops
size: 376, time: 0.002464 s, speed: 43.146240 GFlops
size: 380, time: 0.002513 s, speed: 43.671698 GFlops
size: 384, time: 0.002770 s, speed: 40.880370 GFlops
size: 388, time: 0.003227 s, speed: 36.201521 GFlops
size: 392, time: 0.003254 s, speed: 37.023638 GFlops
size: 396, time: 0.003334 s, speed: 37.251524 GFlops
size: 400, time: 0.003330 s, speed: 38.438527 GFlops
size: 404, time: 0.003386 s, speed: 38.947940 GFlops
size: 408, time: 0.002804 s, speed: 48.442454 GFlops
size: 412, time: 0.002834 s, speed: 49.352515 GFlops
size: 416, time: 0.003302 s, speed: 43.603376 GFlops
size: 420, time: 0.003233 s, speed: 45.832979 GFlops
size: 424, time: 0.003536 s, speed: 43.113873 GFlops
size: 428, time: 0.004158 s, speed: 37.711580 GFlops
size: 432, time: 0.004593 s, speed: 35.107077 GFlops
size: 436, time: 0.003654 s, speed: 45.364962 GFlops
size: 440, time: 0.003857 s, speed: 44.169563 GFlops
size: 444, time: 0.005171 s, speed: 33.853165 GFlops
size: 448, time: 0.012188 s, speed: 14.754504 GFlops
size: 452, time: 0.015193 s, speed: 12.156131 GFlops
size: 456, time: 0.005417 s, speed: 35.007169 GFlops
size: 460, time: 0.004841 s, speed: 40.212438 GFlops
size: 464, time: 0.010099 s, speed: 19.783273 GFlops
size: 468, time: 0.005344 s, speed: 38.362605 GFlops
size: 472, time: 0.014980 s, speed: 14.039186 GFlops
size: 476, time: 0.007450 s, speed: 28.952664 GFlops
size: 480, time: 0.015688 s, speed: 14.098981 GFlops
size: 484, time: 0.005941 s, speed: 38.167646 GFlops
size: 488, time: 0.014145 s, speed: 16.431971 GFlops
size: 492, time: 0.010538 s, speed: 22.602836 GFlops
size: 496, time: 0.006168 s, speed: 39.565961 GFlops
size: 500, time: 0.005374 s, speed: 46.520674 GFlops
size: 504, time: 0.011866 s, speed: 21.578567 GFlops
size: 508, time: 0.006707 s, speed: 39.092718 GFlops
size: 512, time: 0.007345 s, speed: 36.546886 GFlops
size: 516, time: 0.015496 s, speed: 17.732054 GFlops
size: 520, time: 0.016239 s, speed: 17.317399 GFlops
size: 524, time: 0.007103 s, speed: 40.512039 GFlops
size: 528, time: 0.006773 s, speed: 43.466133 GFlops
size: 532, time: 0.011648 s, speed: 25.853288 GFlops
size: 536, time: 0.005595 s, speed: 55.046118 GFlops
size: 540, time: 0.007298 s, speed: 43.152688 GFlops
size: 544, time: 0.015372 s, speed: 20.945718 GFlops
size: 548, time: 0.016825 s, speed: 19.562196 GFlops
size: 552, time: 0.005423 s, speed: 62.030045 GFlops
size: 556, time: 0.006061 s, speed: 56.715865 GFlops
size: 560, time: 0.016902 s, speed: 20.780536 GFlops
size: 564, time: 0.007416 s, speed: 48.383469 GFlops
size: 568, time: 0.016581 s, speed: 22.103587 GFlops
size: 572, time: 0.008439 s, speed: 44.354335 GFlops
size: 576, time: 0.020796 s, speed: 18.378767 GFlops
size: 580, time: 0.009071 s, speed: 43.019452 GFlops
size: 584, time: 0.021339 s, speed: 18.667910 GFlops
size: 588, time: 0.022468 s, speed: 18.096743 GFlops
size: 592, time: 0.019592 s, speed: 21.179738 GFlops
size: 596, time: 0.008859 s, speed: 47.794327 GFlops
size: 600, time: 0.019562 s, speed: 22.083625 GFlops
size: 604, time: 0.021129 s, speed: 20.857587 GFlops
size: 608, time: 0.008123 s, speed: 55.338643 GFlops
size: 612, time: 0.020432 s, speed: 22.437449 GFlops
size: 616, time: 0.009257 s, speed: 50.500793 GFlops
size: 620, time: 0.008773 s, speed: 54.333084 GFlops
size: 624, time: 0.008437 s, speed: 57.597008 GFlops
size: 628, time: 0.008786 s, speed: 56.379284 GFlops
size: 632, time: 0.009568 s, speed: 52.766848 GFlops
size: 636, time: 0.009154 s, speed: 56.206504 GFlops
size: 640, time: 0.009720 s, speed: 53.938612 GFlops
size: 644, time: 0.009675 s, speed: 55.212252 GFlops
size: 648, time: 0.008358 s, speed: 65.110729 GFlops
size: 652, time: 0.009672 s, speed: 57.313878 GFlops
size: 656, time: 0.009850 s, speed: 57.319735 GFlops
size: 660, time: 0.010475 s, speed: 54.892256 GFlops
size: 664, time: 0.010223 s, speed: 57.272942 GFlops
size: 668, time: 0.010170 s, speed: 58.619102 GFlops
size: 672, time: 0.010153 s, speed: 59.777957 GFlops
size: 676, time: 0.010493 s, speed: 58.880129 GFlops
size: 680, time: 0.010592 s, speed: 59.371692 GFlops
size: 684, time: 0.009616 s, speed: 66.557604 GFlops
size: 688, time: 0.010652 s, speed: 61.145076 GFlops
