スクリプトは 2014年07月27日 15時44分26秒
 に開始しました]0;kiyotaka@ruby: ~/Projects/HyBLAS/src/tmpkiyotaka@ruby:~/Projects/HyBLAS/src/tmp$ for i in 0 1 2 3 4 5 6 7; do ./dgemm; suudo service lightdm restart; done
^C
]0;kiyotaka@ruby: ~/Projects/HyBLAS/src/tmpkiyotaka@ruby:~/Projects/HyBLAS/src/tmp$ sudo service lightdm restart
[sudo] password for kiyotaka: 
lightdm stop/waiting
lightdm start/running, process 4683
]0;kiyotaka@ruby: ~/Projects/HyBLAS/src/tmpkiyotaka@ruby:~/Projects/HyBLAS/src/tmp$ sudo service lightdm restartfor i in 0 1 2 3 4 5 6 7; do ./dgemm; suudo service lightdm restart; done
128 0.00 1.86 0.35 0.01 0.000000
256 0.01 2.53 0.13 0.26 0.000000
384 0.02 5.54 0.18 0.62 0.000000
512 0.03 9.64 0.18 1.53 0.000000
640 0.04 12.34 0.35 1.52 0.000000
768 0.08 11.44 0.23 3.94 0.000000
896 0.10 14.79 0.35 4.07 0.000000
1024 0.18 11.63 0.26 8.27 0.000000
1152 0.23 13.34 0.37 8.30 0.000000
1280 0.29 14.25 0.21 20.33 0.000000
1408 0.43 12.91 0.15 36.93 0.000000
1536 0.55 13.27 0.28 26.03 0.000000
1664 0.70 13.10 0.37 24.98 0.000000
1792 0.86 13.36 0.41 28.30 0.000000
1920 1.06 13.33 0.19 75.53 0.000000
2048 1.30 13.27 0.26 67.08 0.000000
2176 1.54 13.40 0.43 47.82 0.000000
2304 1.26 19.49 0.42 58.43 0.000000
2432 2.15 13.40 0.37 77.84 0.000000
2560 2.50 13.45 0.41 81.50 0.000000
2688 2.89 13.42 0.31 124.25 0.000000
2816 3.32 13.45 0.34 131.73 0.000000
2944 3.78 13.49 0.55 91.96 0.000000
3072 4.36 13.28 0.62 93.03 0.000000
3200 4.85 13.52 0.48 136.65 0.000000
3328 5.06 14.58 0.55 134.93 0.000000
3456 6.13 13.47 0.72 114.08 0.000000
3584 6.81 13.52 0.82 111.80 0.000000
3712 7.84 13.05 0.61 167.62 0.000000
3840 8.33 13.60 0.93 122.33 0.000000
3968 9.31 13.42 0.90 138.37 0.000000
4096 10.22 13.44 1.37 100.60 0.000000
lightdm stop/waiting
lightdm start/running, process 5099
128 0.00 1.84 0.11 0.04 0.000000
256 0.01 3.72 0.33 0.10 0.000000
384 0.02 4.69 0.32 0.35 0.000000
512 0.03 7.90 0.27 1.00 0.000000
640 0.05 11.24 0.33 1.61 0.000000
768 0.07 12.12 0.23 3.86 0.000000
896 0.13 10.73 0.14 9.96 0.000000
1024 0.17 12.42 0.29 7.52 0.000000
1152 0.24 12.68 0.30 10.31 0.000000
1280 0.32 13.07 0.34 12.43 0.000000
1408 0.42 13.24 0.21 26.08 0.000000
1536 0.54 13.43 0.30 24.54 0.000000
1664 0.70 13.25 0.27 34.48 0.000000
1792 0.86 13.31 0.38 30.68 0.000000
1920 1.05 13.54 0.36 39.81 0.000000
2048 1.29 13.32 0.37 46.37 0.000000
2176 1.53 13.51 0.31 66.21 0.000000
2304 1.80 13.55 0.24 103.56 0.000000
2432 2.19 13.13 0.37 77.71 0.000000
2560 2.29 14.67 0.26 128.88 0.000000
2688 2.98 13.03 0.49 79.97 0.000000
2816 3.28 13.62 0.55 81.62 0.000000
2944 3.75 13.62 0.55 93.12 0.000000
3072 4.23 13.70 0.62 93.55 0.000000
3200 4.80 13.65 0.54 120.47 0.000000
3328 5.22 14.12 0.57 128.23 0.000000
3456 6.03 13.70 0.72 115.18 0.000000
3584 6.78 13.58 0.80 114.93 0.000000
3712 7.45 13.73 0.68 149.51 0.000000
3840 8.28 13.68 0.91 124.86 0.000000
3968 9.05 13.81 0.90 138.55 0.000000
4096 10.23 13.44 1.40 98.20 0.000000
lightdm stop/waiting
lightdm start/running, process 5508
128 0.02 0.24 0.27 0.02 0.000000
256 0.01 3.11 0.20 0.17 0.000000
384 0.03 4.29 0.29 0.39 0.000000
512 0.01 37.95 0.27 1.00 0.000000
640 0.06 8.31 0.30 1.73 0.000000
768 0.08 11.06 0.20 4.49 0.000000
896 0.11 12.83 0.27 5.26 0.000000
1024 0.17 12.32 0.36 6.01 0.000000
1152 0.24 12.63 0.26 11.58 0.000000
1280 0.26 16.41 0.36 11.74 0.000000
1408 0.44 12.58 0.16 35.92 0.000000
1536 0.55 13.28 0.36 20.27 0.000000
1664 0.70 13.20 0.24 39.03 0.000000
1792 0.86 13.38 0.20 56.40 0.000000
1920 1.06 13.30 0.29 48.53 0.000000
2048 1.21 14.22 0.33 52.69 0.000000
2176 1.54 13.35 0.26 79.78 0.000000
2304 1.82 13.43 0.45 54.31 0.000000
2432 2.14 13.41 0.44 65.14 0.000000
2560 2.48 13.53 0.30 111.95 0.000000
2688 2.55 15.24 0.47 82.46 0.000000
2816 3.30 13.52 0.37 119.45 0.000000
2944 3.78 13.48 0.40 126.71 0.000000
3072 4.28 13.53 0.62 92.78 0.000000
3200 4.84 13.55 0.60 108.96 0.000000
3328 5.43 13.57 0.66 111.61 0.000000
3456 6.11 13.50 0.68 122.03 0.000000
3584 6.78 13.59 0.67 138.20 0.000000
3712 7.55 13.56 0.82 125.09 0.000000
3840 8.49 13.34 0.91 124.09 0.000000
3968 9.20 13.59 0.89 139.67 0.000000
4096 10.22 13.44 1.39 98.70 0.000000
lightdm stop/waiting
lightdm start/running, process 5918
128 0.02 0.21 0.34 0.01 0.000000
256 0.01 3.64 0.12 0.27 0.000000
384 0.02 6.13 0.33 0.34 0.000000
512 0.03 9.91 0.33 0.81 0.000000
